,date,team1,team2,1starter_1,1starter_2,1starter_3,1starter_4,1starter_5,1starter_6,1starter_7,1starter_8,1starter_9,1starter_10,1starter_11,1sub_1,1sub_2,1sub_3,1sub_4,1sub_5,1sub_6,1sub_7,2starter_1,2starter_2,2starter_3,2starter_4,2starter_5,2starter_6,2starter_7,2starter_8,2starter_9,2starter_10,2starter_11,2sub_1,2sub_2,2sub_3,2sub_4,2sub_5,2sub_6,2sub_7,referee,assistant_1,assistant_2,fourth
0,12.05.2019,Brighton & Hove Albion,Manchester City,Mathew Ryan,Shane Duffy,Bernardo Fernandes da Silva Junior,Lewis Dunk,Bruno Saltor Grau,Anthony Knockaert,Yves Bissouma,Beram Kayal,Pascal Groß,Alireza Jahanbakhsh,Glenn Murray,David Button,Dan Burn,Martín Montoya Torralbo,Gaëtan Bong Songo,Jayson Molumby,Jürgen Locadia,Florin Andone,Ederson Santana de Moraes,Vincent Kompany,Kyle Walker,Aymeric  Laporte,Oleksandr Zinchenko,İlkay Gündoğan,Bernardo Mota Veiga de Carvalho e Silva,David Josué Jiménez Silva,Riyad Mahrez,Sergio Leonel Agüero del Castillo,Raheem Shaquille Sterling,Arijanet Murić,John Stones,Nicolás Hernán Otamendi,Danilo Luiz da Silva,Kevin De Bruyne,Leroy Sané,Gabriel Fernando de Jesus,Michael Oliver,Stuart Burt,Simon Bennett,Paul Tierney
1,12.05.2019,Burnley,Arsenal,Tom Heaton,James  Tarkowski,Ben Mee,Matthew Lowton,Charlie Taylor,Jeff Hendrick,Jack Cork,Ashley Westwood,Dwight McNeil,Ashley Barnes,Chris Wood,Joe Hart,Kevin Long,Stephen Ward,Robbie Brady,Johann  Berg Guðmunds­son,Peter Crouch,Matěj Vydra,Bernd Leno,Konstantinos Mavropanos,Stephan Lichtsteiner,Ignacio Monreal Eraso,Shkodran Mustafi,Joseph Willock,Alex Iwobi,Mattéo Guendouzi Olié,Mohamed Naser Elsayed Elneny,Henrikh Mkhitaryan,Pierre-Emerick Aubameyang,Petr Čech,Laurent Koscielny,Sead Kolašinac,Granit Xhaka,Ainsley Maitland-Niles,Alexandre Lacazette,Edward Nketiah,Mike Dean,Daniel Robathan,Nicholas Hopton,Lee Mason
2,12.05.2019,Crystal Palace,AFC Bournemouth,Vicente Guaita Panadero,Aaron Wan-Bissaka,Patrick  van Aanholt,Martin Kelly,Joel Ward,Andros Townsend,James McArthur,Luka Milivojević,Max  Meyer,Wilfried Zaha,Michy Batshuayi Tunga,Wayne  Hennessey,Nikola Tavares,Jaïro Riedewald,Luke Dreher,Bakary Sako,Connor Wickham,Christian Benteke Liolo,Mark Travers,Jack Simpson,Nathaniel Edwin Clyne,Adam Smith,Steve Cook,Nathan Aké,Jefferson Andrés Lerma Solís,Ryan Fraser,Jordon  Ibe,Callum Wilson,Joshua King,Artur Boruc,Chris Mepham,Emerson Hyndman,Matt Butcher,Kyle Taylor,Sam Surridge,Lys Mousset,Roger East,Harry Lennard,Adrian Holmes,Keith Stroud
3,12.05.2019,Fulham,Newcastle United,Sergio Rico González,Alfie Mawson,Maxime Le Marchand,Cyrus Christie,Joe  Bryan,Calum Chambers,Tom Cairney,André-Frank Zambo Anguissa,Kouassi Ryan Sessegnon,Floyd Ayité,Aleksandar Mitrović,Fabricio Martín Agosto Ramírez,Zeze  Steven Sessegnon,Tim Ream,Neeskens Kebano,Luca de la Torre,Ryan Guno Babel,Harvey Elliot,Martin Dúbravka,Jamaal Lascelles,Paul Dummett,Fabian Lukas Schär,Matt Ritchie,Isaac Hayden,Christian  Atsu Twasam,Mohamed Diamé,Jonjo Shelvey,Ayoze Pérez Gutiérrez,José Salomón Rondón Giménez,Karl Darlow,Federico Fernández,Lewis Cass,Ciaran Clark,Kelland Watts,Robert Kenedy Nunes do Nascimento,Yoshinori Muto,Kevin Friend,Constantine Hatzidakis,Matthew Wilkes,Graham Scott
4,12.05.2019,Leicester City,Chelsea,Kasper Schmeichel,Jonny Evans,Ricardo Domingos Barbosa Pereira,Ben Chilwell,Harry Maguire,Youri Tielemans,Marc Albrighton,Onyinye Wilfred Ndidi,Hamza Choudhury,James Maddison,Jamie Vardy,Danny Ward,Wes Morgan,Danny Simpson,Harvey Lewis Barnes,Demarai Gray,Shinji Okazaki,Kelechi Promise Iheanacho,Wilfredo Daniel Caballero,Marcos  Alonso Mendoza,César Azpilicueta Tanco,Davide Zappacosta,David Luiz Moreira Marinho,Jorge Luiz Frello Filho,Ruben Loftus-Cheek,Ross Barkley,Willian Borges da Silva,Pedro Eliezer Rodríguez Ledesma,Gonzalo Gerardo Higuaín,Kepa Arrizabalaga Revuelta,Emerson Palmieri dos Santos,Marc Guehi,Andreas Christensen,Mateo Kovačić,Olivier Giroud,Eden Hazard,Anthony Taylor,Gary Beswick,Darren Cann,Craig Pawson
5,12.05.2019,Liverpool,Wolverhampton Wanderers,Alisson Ramsés Becker,Joël Andre Job Matip,Andrew Robertson,Virgil van Dijk,Trent Alexander-Arnold,Georginio Wijnaldum,Fábio Henrique Tavares,Jordan Brian Henderson,Sadio Mané,Mohamed  Salah Ghaly,Divock Okoth Origi,Simon Mignolet,Joe Gomez,Dejan Lovren,James Philip Milner,Alex Oxlade-Chamberlain,Daniel Andre Sturridge,Xherdan Shaqiri,Rui Pedro dos Santos Patrício,Willy Boly,Conor  Coady,Ryan Bennett,Matt Doherty,Jonathan Castro Otto,Leander Dendoncker,João Filipe Iria Santos Moutinho,Rúben Diogo Da Silva Neves,Diogo José Teixeira da Silva,Raúl Alonso Jiménez Rodríguez,John Ruddy,Rúben Gonçalo Silva Nascimento Vinagre,Max Kilman,Morgan Gibbs-White,Hélder Wander Sousa Azevedo Costa,Ivan Ricardo Neves Abreu Cavaleiro,Adama Traoré Diarra,Martin Atkinson,Lee Betts,Adam Nunn,Stuart Attwell
6,12.05.2019,Manchester United,Cardiff City,David de Gea Quintana,Chris Smalling,Phil Jones,José Diogo Dalot Teixeira,Ashley Young,Andreas Hoelgebaum Pereira,Scott McTominay,Paul Pogba,Mason Greenwood,Jesse Lingard,Marcus Rashford,Sergio Germán Romero,Luis Antonio Valencia Mosquera,Juan Manuel Mata García,Angel Gomes,Frederico Rodrigues Santos,James Garner,Anthony Martial,Neil Leonard Dula Etheridge,Bruno Écuélé Manga,Joe Bennett,Sean Morrison,Lee Peltier,Leandro Bacuna,Josh Murphy,Aron Einar Gunnarsson,Bobby Reid,Nathaniel Mendez-Laing,Kenneth Dahrup Zohorè,Brian Murphy,Jazz Richards,Greg Cunningham,Kadeem Harris,David Junior Hoilett,Rhys Healey,Danny Ward,Jonathan Moss,Marc Perry,Mick McDonough,Simon Hooper
7,12.05.2019,Southampton,Huddersfield Town,Angus Gunn,Ryan Bertrand,Jan Bednarek,Jack Stephens,Yan Valery,Pierre-Emile Højbjerg,James  Ward-Prowse,Oriol Romeu Vidal,Nathan Redmond,Daniel William John Ings,Shane  Long,Fraser Forster,Matt Targett,Alfie Jones,Mario Lemina,Stuart Armstrong,Joshua Sims,Charlie Austin,Joel Coleman,Tom Smith,Jon Gorenc Stankovič,Christopher Schindler,Terence Kongolo,Juninho Bacuna,Jonathan Hogg,Aaron Mooy,Alex  Pritchard,Isaac Mbenza,Karlan Ahearne-Grant,Jonas Lössl,Demeaco Duhaney,Matty Daly,Aaron Rowe,Adama Diakhaby,Elias Kachunga,Steve Mounié,Lee Probert,Andy Garratt,Mark Scholes,Peter Bankes
8,12.05.2019,Tottenham Hotspur,Everton,Hugo Lloris,Toby Alderweireld,Kyle Walker-Peters,Ben Davies,Eric Dier,Erik Lamela,Christian  Dannemann Eriksen,Moussa Sissoko,Bamidele Alli,Lucas Rodrigues Moura da Silva,Fernando Llorente Torres,Paulo Dino Gazzaniga,Kieran Trippier,Serge Aurier,Oliver Skipp,Victor Wanyama,George Marsh,Vincent Janssen,Jordan Pickford,Michael Keane,Yerry Fernando Mina González,Kurt Happy Zouma,Lucas Digne,Idrissa Gana Gueye,Morgan Schneiderlin,Bernard  Anício Caldeira Duarte,Gylfi Þór Sigurðsson,Theo  Walcott,Cenk Tosun,Maarten Stekelenburg,Jonjoe Kenny,Phil Jagielka,Leighton Baines,Tom Davies,André Filipe Tavares Gomes,Ademola Lookman,Andre Marriner,Scott Ledger,Simon Long,David Coote
9,12.05.2019,Watford,West Ham United,Ben Foster,Christian Kabasele,Craig Cathcart,Francisco Femenía Far,José Holebas,Etienne Capoue,Roberto Maximiliano Pereyra,Abdoulaye Doucouré,Will Hughes,Gerard Deulofeu Lázaro,Troy Deeney,Heurelho da Silva Gomes,Adrian Mariappa,Adam Masina,Daryl Janmaat,Nathaniel Chalobah,Isaac  Ajayi Success,Andre Gray,Łukasz Fabiański,Issa Diop,Ryan Fredericks,Arthur Masuaku,Fabián Cornelio Balbuena González,Mark Noble,Felipe  Anderson Pereira Gomes,Manuel Lanzini,Michail Antonio,Declan Rice,Marko Arnautović,Adrián San Miguel del Castillo,Angelo Obinze Ogbonna,Pablo Javier Zabaleta Girod,Jack Wilshere,Carlos Alberto Sánchez Moreno,Robert Snodgrass,Javier Hernández Balcázar,Chris Kavanagh,Daniel Cook,Sian Massey,Andy Madley
