,1starter_1,1starter_2,1starter_3,1starter_4,1starter_5,1starter_6,1starter_7,1starter_8,1starter_9,1starter_10,1starter_11,1sub_1,1sub_2,1sub_3,1sub_4,1sub_5,1sub_6,1sub_7,2starter_1,2starter_2,2starter_3,2starter_4,2starter_5,2starter_6,2starter_7,2starter_8,2starter_9,2starter_10,2starter_11,2sub_1,2sub_2,2sub_3,2sub_4,2sub_5,2sub_6,2sub_7
0,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Attacker,Attacker
1,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker
2,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker
3,Goalkeeper,Defender,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Midfielder,Attacker
4,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Attacker,Attacker
5,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Midfielder,Attacker,Attacker,Attacker
6,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Attacker,Attacker,Attacker
7,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Midfielder,Attacker,Attacker,Attacker,Attacker
8,Goalkeeper,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Midfielder,Attacker
9,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker
10,Goalkeeper,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker
11,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker
12,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Attacker,Attacker
13,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker
14,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker
15,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker
16,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker
17,Goalkeeper,Defender,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Attacker,Attacker
18,Goalkeeper,Defender,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker
19,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Attacker,Attacker,Attacker
20,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker
21,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Midfielder,Attacker
22,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker
23,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker
24,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Attacker,Attacker,Attacker
25,Goalkeeper,Defender,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Attacker,Attacker
26,Goalkeeper,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Goalkeeper,Defender,Defender,Defender,Defender,Defender,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Goalkeeper,Midfielder,Midfielder,Midfielder,Attacker,Attacker,Attacker
